Account Name,Selected Period,% of Selected Period,Fiscal Year To Date,% of Fiscal Year To Date

Operating Income & Expense,,,,
    Income,,,,
        Non-Refundable Deposit,"141,301.01",3.39,"141,301.01",3.39
        Non Refundable Pet Fee ,"32,500.00",0.78,"32,500.00",0.78
        Amenities Fees,"2,791.99",0.07,"2,791.99",0.07
        Pet Fees,"1,950.00",0.05,"1,950.00",0.05
        Pet Rent,"39,924.97",0.96,"39,924.97",0.96
        Rental Income Application,65.00,0.00,65.00,0.00
        Rental Reimbursmens Utilities,"137,031.59",3.29,"137,031.59",3.29
        Rental Income,"3,877,344.80",93.10,"3,877,344.80",93.10
        Carport Income,"70,736.08",1.70,"70,736.08",1.70
        Storage Income,"5,979.31",0.14,"5,979.31",0.14
        Concessions ,"-219,922.61",-5.28,"-219,922.61",-5.28
        Application Fee Income,"27,560.00",0.66,"27,560.00",0.66
        Insurance Services,60.00,0.00,60.00,0.00
        Late Fee,"10,470.00",0.25,"10,470.00",0.25
        Short term lease ,"18,685.78",0.45,"18,685.78",0.45
        NSF Fee,750.00,0.02,750.00,0.02
        Admin Fee,"1,500.00",0.04,"1,500.00",0.04
        Key Fob ,"3,322.00",0.08,"3,322.00",0.08
        Violations ,"1,275.00",0.03,"1,275.00",0.03
        Early Termination Fee ,"11,480.00",0.28,"11,480.00",0.28
    Total Operating Income,"4,164,804.92",100.00,"4,164,804.92",100.00
    Expense,,,,
        Attorney Fees ,-600.00,-0.01,-600.00,-0.01
        Cleaning/Janitorial,-320.00,-0.01,-320.00,-0.01
        Miscellaneous,-540.00,-0.01,-540.00,-0.01
        Repairs:Building Repairs,-550.00,-0.01,-550.00,-0.01
        Utilities,"-8,144.88",-0.20,"-8,144.88",-0.20
    Total Operating Expense,"-10,154.88",-0.24,"-10,154.88",-0.24
,,,,
    NOI - Net Operating Income,"4,174,959.80",100.24,"4,174,959.80",100.24
,,,,
Other Income & Expense,,,,
    Other Income,,,,
        Other Income,40.00,0.00,40.00,0.00
    Total Other Income,40.00,0.00,40.00,0.00
,,,,
    Net Other Income,40.00,0.00,40.00,0.00
,,,,
    Total Income,"4,164,844.92",100.00,"4,164,844.92",100.00
    Total Expense,"-10,154.88",-0.24,"-10,154.88",-0.24
,,,,
    Net Income,"4,174,999.80",100.24,"4,174,999.80",100.24
,,,,
    Other Items,,,,
        Clearing Account,"10,170.01",,"10,170.01",
        Prepaid Rent,"139,035.83",,"139,035.83",
    Net Other Items,"149,205.84",,"149,205.84",
,,,,
Cash Flow,"4,324,205.64",,"4,324,205.64",
,,,,
Beginning Cash,0.00,,0.00,
Beginning Cash + Cash Flow,"4,324,205.64",,"4,324,205.64",
Actual Ending Cash,"4,324,205.64",,"4,324,205.64",
